fiscal_year,year,month,phase,sale_period,bond_type,transaction_type,bonds,amount,units
2020-21,2021,January,15,01st January to 10th January 2021,Ten Lakh Bond,Redeemed or Encashed Bonds,78,78000000,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,Ten Lakh Bond,Sold or Purchased Bonds,78,78000000,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,Ten Thousand Bond,Redeemed or Encashed Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,Ten Thousand Bond,Sold or Purchased Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2020-21,2021,January,15,01st January to 10th January 2021,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,One Crore Bond,Redeemed or Encashed Bonds,279,2790000000,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,One Crore Bond,Sold or Purchased Bonds,279,2790000000,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,One Lakh Bond,Redeemed or Encashed Bonds,9,900000,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,One Lakh Bond,Sold or Purchased Bonds,9,900000,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,One Thousand Bond,Sold or Purchased Bonds,1,1000,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,One Thousand Bond,Bonds Transferred to PMNRF,1,1000,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,Ten Lakh Bond,Redeemed or Encashed Bonds,32,32000000,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,Ten Lakh Bond,Sold or Purchased Bonds,32,32000000,"bonds in absolute number, amount is Indian rupees"
2020-21,2020,October,14,19th October to 28th October 2020,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2020,January,13,13th January to 22nd January 2020,One Crore Bond,Redeemed or Encashed Bonds,78,780000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2020,January,13,13th January to 22nd January 2020,One Crore Bond,Sold or Purchased Bonds,78,780000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2020,January,13,13th January to 22nd January 2020,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2020,January,13,13th January to 22nd January 2020,One Lakh Bond,Redeemed or Encashed Bonds,27,2700000,"bonds in absolute number, amount is Indian rupees"
2019-20,2020,January,13,13th January to 22nd January 2020,One Lakh Bond,Sold or Purchased Bonds,27,2700000,"bonds in absolute number, amount is Indian rupees"
2019-20,2020,January,13,13th January to 22nd January 2020,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2020,January,13,13th January to 22nd January 2020,Ten Lakh Bond,Redeemed or Encashed Bonds,34,34000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2020,January,13,13th January to 22nd January 2020,Ten Lakh Bond,Sold or Purchased Bonds,34,34000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2020,January,13,13th January to 22nd January 2020,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,One Crore Bond,Redeemed or Encashed Bonds,215,2150000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,One Crore Bond,Sold or Purchased Bonds,215,2150000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,One Lakh Bond,Redeemed or Encashed Bonds,152,15200000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,One Lakh Bond,Sold or Purchased Bonds,152,15200000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,Ten Lakh Bond,Redeemed or Encashed Bonds,154,154000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,Ten Lakh Bond,Sold or Purchased Bonds,154,154000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,Ten Thousand Bond,Redeemed or Encashed Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,Ten Thousand Bond,Sold or Purchased Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,October,12,01st October to 10th October 2019,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,July,11,01st July to 10th July 2019,One Crore Bond,Redeemed or Encashed Bonds,41,410000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,July,11,01st July to 10th July 2019,One Crore Bond,Sold or Purchased Bonds,41,410000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,July,11,01st July to 10th July 2019,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,July,11,01st July to 10th July 2019,One Lakh Bond,Redeemed or Encashed Bonds,18,1800000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,July,11,01st July to 10th July 2019,One Lakh Bond,Sold or Purchased Bonds,18,1800000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,July,11,01st July to 10th July 2019,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,July,11,01st July to 10th July 2019,Ten Lakh Bond,Redeemed or Encashed Bonds,42,42000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,July,11,01st July to 10th July 2019,Ten Lakh Bond,Sold or Purchased Bonds,42,42000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,July,11,01st July to 10th July 2019,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,One Crore Bond,Redeemed or Encashed Bonds,788,7880000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,One Crore Bond,Sold or Purchased Bonds,788,7880000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,One Lakh Bond,Redeemed or Encashed Bonds,35,3500000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,One Lakh Bond,Sold or Purchased Bonds,35,3500000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,One Thousand Bond,Redeemed or Encashed Bonds,15,15000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,One Thousand Bond,Sold or Purchased Bonds,19,19000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,One Thousand Bond,Bonds Transferred to PMNRF,4,4000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,Ten Lakh Bond,Redeemed or Encashed Bonds,309,309000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,Ten Lakh Bond,Sold or Purchased Bonds,339,339000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,Ten Lakh Bond,Bonds Transferred to PMNRF,30,30000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,Ten Thousand Bond,Redeemed or Encashed Bonds,6,60000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,Ten Thousand Bond,Sold or Purchased Bonds,6,60000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,May,10,06th May to 10th May 2019,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,One Crore Bond,Redeemed or Encashed Bonds,2058,20580000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,One Crore Bond,Sold or Purchased Bonds,2058,20580000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,One Lakh Bond,Redeemed or Encashed Bonds,671,67100000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,One Lakh Bond,Sold or Purchased Bonds,696,69600000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,One Lakh Bond,Bonds Transferred to PMNRF,25,2500000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,One Thousand Bond,Redeemed or Encashed Bonds,1,1000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,One Thousand Bond,Sold or Purchased Bonds,2,2000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,One Thousand Bond,Bonds Transferred to PMNRF,1,1000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,Ten Lakh Bond,Redeemed or Encashed Bonds,1866,1866000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,Ten Lakh Bond,Sold or Purchased Bonds,1914,1914000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,Ten Lakh Bond,Bonds Transferred to PMNRF,48,48000000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,Ten Thousand Bond,Redeemed or Encashed Bonds,11,110000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,Ten Thousand Bond,Sold or Purchased Bonds,11,110000,"bonds in absolute number, amount is Indian rupees"
2019-20,2019,April,9,01st April to 20th April 2019,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,One Crore Bond,Redeemed or Encashed Bonds,1263,12630000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,One Crore Bond,Sold or Purchased Bonds,1264,12640000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,One Crore Bond,Bonds Transferred to PMNRF,1,10000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,One Lakh Bond,Redeemed or Encashed Bonds,476,47600000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,One Lakh Bond,Sold or Purchased Bonds,476,47600000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,One Thousand Bond,Sold or Purchased Bonds,2,2000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,One Thousand Bond,Bonds Transferred to PMNRF,2,2000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,Ten Lakh Bond,Redeemed or Encashed Bonds,969,969000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,Ten Lakh Bond,Sold or Purchased Bonds,969,969000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,Ten Thousand Bond,Redeemed or Encashed Bonds,30,300000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,Ten Thousand Bond,Sold or Purchased Bonds,31,310000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,March,8,01st March to 15th March 2019,Ten Thousand Bond,Bonds Transferred to PMNRF,1,10000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,One Crore Bond,Redeemed or Encashed Bonds,308,3080000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,One Crore Bond,Sold or Purchased Bonds,308,3080000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,One Lakh Bond,Redeemed or Encashed Bonds,215,21500000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,One Lakh Bond,Sold or Purchased Bonds,215,21500000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,One Thousand Bond,Redeemed or Encashed Bonds,1,1000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,One Thousand Bond,Sold or Purchased Bonds,2,2000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,One Thousand Bond,Bonds Transferred to PMNRF,1,1000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,Ten Lakh Bond,Redeemed or Encashed Bonds,402,402000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,Ten Lakh Bond,Sold or Purchased Bonds,402,402000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,Ten Thousand Bond,Redeemed or Encashed Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,Ten Thousand Bond,Sold or Purchased Bonds,10,100000,"bonds in absolute number, amount is Indian rupees"
2018-19,2019,January,7,01st January to 10th January 2019,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,November,6,01st November to 10th November 2018,One Crore Bond,Redeemed or Encashed Bonds,168,1680000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,November,6,01st November to 10th November 2018,One Crore Bond,Sold or Purchased Bonds,168,1680000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,November,6,01st November to 10th November 2018,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,November,6,01st November to 10th November 2018,One Lakh Bond,Redeemed or Encashed Bonds,10,1000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,November,6,01st November to 10th November 2018,One Lakh Bond,Sold or Purchased Bonds,10,1000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,November,6,01st November to 10th November 2018,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,November,6,01st November to 10th November 2018,Ten Lakh Bond,Redeemed or Encashed Bonds,161,161000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,November,6,01st November to 10th November 2018,Ten Lakh Bond,Sold or Purchased Bonds,161,161000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,November,6,01st November to 10th November 2018,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,One Crore Bond,Redeemed or Encashed Bonds,370,3700000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,One Crore Bond,Sold or Purchased Bonds,370,3700000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,One Lakh Bond,Redeemed or Encashed Bonds,43,4300000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,One Lakh Bond,Sold or Purchased Bonds,43,4300000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,One Thousand Bond,Redeemed or Encashed Bonds,5,5000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,One Thousand Bond,Sold or Purchased Bonds,5,5000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,One Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,Ten Lakh Bond,Redeemed or Encashed Bonds,311,311000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,Ten Lakh Bond,Sold or Purchased Bonds,313,313000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,Ten Lakh Bond,Bonds Transferred to PMNRF,2,2000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,Ten Thousand Bond,Redeemed or Encashed Bonds,2,20000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,Ten Thousand Bond,Sold or Purchased Bonds,2,20000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,October,5,01st October to 10th October 2018,Ten Thousand Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,July,4,02nd July to 11th July 2018,One Crore Bond,Redeemed or Encashed Bonds,28,280000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,July,4,02nd July to 11th July 2018,One Crore Bond,Sold or Purchased Bonds,28,280000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,July,4,02nd July to 11th July 2018,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,July,4,02nd July to 11th July 2018,One Lakh Bond,Redeemed or Encashed Bonds,10,1000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,July,4,02nd July to 11th July 2018,One Lakh Bond,Sold or Purchased Bonds,10,1000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,July,4,02nd July to 11th July 2018,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,July,4,02nd July to 11th July 2018,Ten Lakh Bond,Redeemed or Encashed Bonds,44,44000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,July,4,02nd July to 11th July 2018,Ten Lakh Bond,Sold or Purchased Bonds,44,44000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,July,4,02nd July to 11th July 2018,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,May,3,01st May to 10th May 2018,One Crore Bond,Redeemed or Encashed Bonds,83,830000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,May,3,01st May to 10th May 2018,One Crore Bond,Sold or Purchased Bonds,93,930000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,May,3,01st May to 10th May 2018,One Crore Bond,Bonds Transferred to PMNRF,10,100000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,May,3,01st May to 10th May 2018,One Lakh Bond,Redeemed or Encashed Bonds,30,3000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,May,3,01st May to 10th May 2018,One Lakh Bond,Sold or Purchased Bonds,30,3000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,May,3,01st May to 10th May 2018,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,May,3,01st May to 10th May 2018,Ten Lakh Bond,Redeemed or Encashed Bonds,81,81000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,May,3,01st May to 10th May 2018,Ten Lakh Bond,Sold or Purchased Bonds,81,81000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,May,3,01st May to 10th May 2018,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,One Crore Bond,Redeemed or Encashed Bonds,101,1010000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,One Crore Bond,Sold or Purchased Bonds,101,1010000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,One Crore Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,One Lakh Bond,Redeemed or Encashed Bonds,10,1000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,One Lakh Bond,Sold or Purchased Bonds,10,1000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,One Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,One Thousand Bond,Redeemed or Encashed Bonds,1,1000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,One Thousand Bond,Sold or Purchased Bonds,7,7000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,One Thousand Bond,Bonds Transferred to PMNRF,6,6000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,Ten Lakh Bond,Redeemed or Encashed Bonds,138,138000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,Ten Lakh Bond,Sold or Purchased Bonds,138,138000000,"bonds in absolute number, amount is Indian rupees"
2018-19,2018,April,2,02nd April to 10th April 2018,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
2017-18,2018,March,1,1st March to 9th March 2018,One Crore Bond,Redeemed or Encashed Bonds,189,1890000000,"bonds in absolute number, amount is Indian rupees"
2017-18,2018,March,1,1st March to 9th March 2018,One Crore Bond,Sold or Purchased Bonds,190,1900000000,"bonds in absolute number, amount is Indian rupees"
2017-18,2018,March,1,1st March to 9th March 2018,One Crore Bond,Bonds Transferred to PMNRF,1,10000000,"bonds in absolute number, amount is Indian rupees"
2017-18,2018,March,1,1st March to 9th March 2018,One Thousand Bond,Redeemed or Encashed Bonds,2,2000,"bonds in absolute number, amount is Indian rupees"
2017-18,2018,March,1,1st March to 9th March 2018,One Thousand Bond,Sold or Purchased Bonds,10,10000,"bonds in absolute number, amount is Indian rupees"
2017-18,2018,March,1,1st March to 9th March 2018,One Thousand Bond,Bonds Transferred to PMNRF,8,8000,"bonds in absolute number, amount is Indian rupees"
2017-18,2018,March,1,1st March to 9th March 2018,Ten Lakh Bond,Redeemed or Encashed Bonds,320,320000000,"bonds in absolute number, amount is Indian rupees"
2017-18,2018,March,1,1st March to 9th March 2018,Ten Lakh Bond,Sold or Purchased Bonds,320,320000000,"bonds in absolute number, amount is Indian rupees"
2017-18,2018,March,1,1st March to 9th March 2018,Ten Lakh Bond,Bonds Transferred to PMNRF,0,0,"bonds in absolute number, amount is Indian rupees"
