data_as_on,state,city,bond_type,sold_purchased,redeemed_encashed,units,notes
02-02-2024,Sikkim,Patna,One Lakh Bond,,1000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Tamil Nadu,Chennai,One Crore Bond,14920000000,6730000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Tamil Nadu,Chennai,One Lakh Bond,5000000,500000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Tamil Nadu,Chennai,One Thousand Bond,10000,,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Tamil Nadu,Chennai,Ten Lakh Bond,317000000,95000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Telangana,Hyderabad,One Crore Bond,34640000000,21340000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Telangana,Hyderabad,One Lakh Bond,43600000,42500000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Telangana,Hyderabad,One Thousand Bond,,9000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Telangana,Hyderabad,Ten Lakh Bond,865000000,1139000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Telangana,Hyderabad,Ten Thousand Bond,470000,390000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Uttar Pradesh,Lucknow,One Crore Bond,510000000,130000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Uttar Pradesh,Lucknow,One Lakh Bond,100000,2500000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,Uttar Pradesh,Lucknow,Ten Lakh Bond,57000000,8000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,West Bengal,Kolkata,One Crore Bond,30050000000,15620000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,West Bengal,Kolkata,One Lakh Bond,153700000,60700000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,West Bengal,Kolkata,One Thousand Bond,40000,14000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,West Bengal,Kolkata,Ten Lakh Bond,3133000000,1548000000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
02-02-2024,West Bengal,Kolkata,Ten Thousand Bond,1190000,400000,"sold_or_purchsed, redeemed_or_encashed in indian rupees",
