fiscal_year,political_party,party_status,category,value,unit,note
2021-22,Telugu Desam Party,Recognized State Party,Income through Electoral Bonds,35000000,value in indian rupees,
2021-22,Telugu Desam Party,Recognized State Party,Party's Total Income,60280222,value in indian rupees,
2021-22,Telugu Desam Party,Recognized State Party,"Income through Grants, Donations and Contributions",42775915,value in indian rupees,
2021-22,Shiromani Akali Dal,Recognized State Party,Income through Electoral Bonds,5000000,value in indian rupees,
2021-22,Shiromani Akali Dal,Recognized State Party,Party's Total Income,254148783,value in indian rupees,
2021-22,Shiromani Akali Dal,Recognized State Party,"Income through Grants, Donations and Contributions",249078200,value in indian rupees,
2021-22,Samajwadi Party,Recognized State Party,Income through Electoral Bonds,32100000,value in indian rupees,
2021-22,Samajwadi Party,Recognized State Party,Party's Total Income,610112914.7,value in indian rupees,
2021-22,Samajwadi Party,Recognized State Party,"Income through Grants, Donations and Contributions",333403347,value in indian rupees,
2021-22,Nationalist Congress Party,Recognized National Party,Income through Electoral Bonds,140000000,value in indian rupees,
2021-22,Nationalist Congress Party,Recognized National Party,Party's Total Income,758431177,value in indian rupees,
2021-22,Nationalist Congress Party,Recognized National Party,"Income through Grants, Donations and Contributions",719565000,value in indian rupees,
2021-22,Maharashtrawadi Gomantak Party,Recognized State Party,Income through Electoral Bonds,5500000,value in indian rupees,value: as reported in contribution report for 2021-22
2021-22,Maharashtrawadi Gomantak Party,Recognized State Party,Party's Total Income,18650000,value in indian rupees,
2021-22,Maharashtrawadi Gomantak Party,Recognized State Party,"Income through Grants, Donations and Contributions",18650000,value in indian rupees,
2021-22,Janata Dal (United),Recognized State Party,Income through Electoral Bonds,100000000,value in indian rupees,
2021-22,Janata Dal (United),Recognized State Party,Party's Total Income,865551071,value in indian rupees,
2021-22,Janata Dal (United),Recognized State Party,"Income through Grants, Donations and Contributions",350941721,value in indian rupees,
2021-22,Indian National Congress,Recognized National Party,Income through Electoral Bonds,2360995000,value in indian rupees,
2021-22,Indian National Congress,Recognized National Party,Party's Total Income,5412750033,value in indian rupees,
2021-22,Indian National Congress,Recognized National Party,"Income through Grants, Donations and Contributions",3479967930,value in indian rupees,
2021-22,Dravida Munnetra Kazhagam,Recognized State Party,Income through Electoral Bonds,3060000000,value in indian rupees,
2021-22,Dravida Munnetra Kazhagam,Recognized State Party,Party's Total Income,3187452965,value in indian rupees,
2021-22,Dravida Munnetra Kazhagam,Recognized State Party,"Income through Grants, Donations and Contributions",3081434945,value in indian rupees,
2021-22,Biju Janata Dal,Recognized State Party,Income through Electoral Bonds,2910000000,value in indian rupees,
2021-22,Biju Janata Dal,Recognized State Party,Party's Total Income,3072886551,value in indian rupees,
2021-22,Biju Janata Dal,Recognized State Party,"Income through Grants, Donations and Contributions",2910000000,value in indian rupees,
2021-22,Bhartiya Janata Party,Recognized National Party,Income through Electoral Bonds,10337000000,value in indian rupees,
2021-22,Bhartiya Janata Party,Recognized National Party,Party's Total Income,19171211270,value in indian rupees,
2021-22,Bhartiya Janata Party,Recognized National Party,"Income through Grants, Donations and Contributions",17754308025,value in indian rupees,
2021-22,Bharat Rashtra Samithi,Recognized State Party,Income through Electoral Bonds,1530000000,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2021-22,Bharat Rashtra Samithi,Recognized State Party,Party's Total Income,2181121734,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2021-22,Bharat Rashtra Samithi,Recognized State Party,"Income through Grants, Donations and Contributions",1939375733,value in indian rupees,political_party: Bharat Rashtra Samithi was earlier known as Telangana Rashtra Samithi
2021-22,All India Trinamool Congress,Recognized National Party,Income through Electoral Bonds,5281430000,value in indian rupees,
2021-22,All India Trinamool Congress,Recognized National Party,Party's Total Income,5457451491,value in indian rupees,
2021-22,All India Trinamool Congress,Recognized National Party,"Income through Grants, Donations and Contributions",5285230000,value in indian rupees,
2021-22,Aam Aadmi Party,Recognized State Party,Income through Electoral Bonds,40000000,value in indian rupees,
2021-22,Aam Aadmi Party,Recognized State Party,Party's Total Income,445395542,value in indian rupees,
2021-22,Aam Aadmi Party,Recognized State Party,"Income through Grants, Donations and Contributions",435925176,value in indian rupees,
2021-22,Goa Forward Party,Recognized State Party,Income through Electoral Bonds,3500000,value in indian rupees,
2021-22,Shivsena,Recognized State Party,Income through Electoral Bonds,290000000,value in indian rupees,
2020-21,Aam Aadmi Party,Recognized State Party,Income through Electoral Bonds,42500000,value in indian rupees,
2020-21,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Income through Electoral Bonds,962500000,value in indian rupees,
2020-21,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Party's Total Income,1079906018,value in indian rupees,
2020-21,Yuvajana Sramika Rythu Congress Party,Recognized State Party,"Income through Grants, Donations and Contributions",962530881,value in indian rupees,
2020-21,Rashtriya Janata Dal,Recognized State Party,Income through Electoral Bonds,30500000,value in indian rupees,
2020-21,Rashtriya Janata Dal,Recognized State Party,Party's Total Income,110759222,value in indian rupees,
2020-21,Rashtriya Janata Dal,Recognized State Party,"Income through Grants, Donations and Contributions",,value in indian rupees,
2020-21,Janata Dal (United),Recognized State Party,Income through Electoral Bonds,14000000,value in indian rupees,
2020-21,Janata Dal (United),Recognized State Party,Party's Total Income,653100807,value in indian rupees,
2020-21,Janata Dal (United),Recognized State Party,"Income through Grants, Donations and Contributions",617784142,value in indian rupees,
2020-21,Indian National Congress,Recognized National Party,Income through Electoral Bonds,100750000,value in indian rupees,
2020-21,Indian National Congress,Recognized National Party,Party's Total Income,2857650239,value in indian rupees,
2020-21,Indian National Congress,Recognized National Party,"Income through Grants, Donations and Contributions",954240305,value in indian rupees,
2020-21,Dravida Munnetra Kazhagam,Recognized State Party,Income through Electoral Bonds,800000000,value in indian rupees,
2020-21,Dravida Munnetra Kazhagam,Recognized State Party,Party's Total Income,1499512635,value in indian rupees,
2020-21,Dravida Munnetra Kazhagam,Recognized State Party,"Income through Grants, Donations and Contributions",1139934091,value in indian rupees,
2020-21,Biju Janata Dal,Recognized State Party,Income through Electoral Bonds,670000000,value in indian rupees,
2020-21,Biju Janata Dal,Recognized State Party,Party's Total Income,733478139,value in indian rupees,
2020-21,Biju Janata Dal,Recognized State Party,"Income through Grants, Donations and Contributions",670023000,value in indian rupees,
2020-21,Bhartiya Janata Party,Recognized National Party,Income through Electoral Bonds,223850000,value in indian rupees,
2020-21,Bhartiya Janata Party,Recognized National Party,Party's Total Income,7523370021,value in indian rupees,
2020-21,Bhartiya Janata Party,Recognized National Party,"Income through Grants, Donations and Contributions",5779746893,value in indian rupees,
2020-21,All India Trinamool Congress,Recognized National Party,Income through Electoral Bonds,420000000,value in indian rupees,
2020-21,All India Trinamool Congress,Recognized National Party,Party's Total Income,744178472,value in indian rupees,
2020-21,All India Trinamool Congress,Recognized National Party,"Income through Grants, Donations and Contributions",422141501,value in indian rupees,
2020-21,Aam Aadmi Party,Recognized State Party,Party's Total Income,176047048,value in indian rupees,
2020-21,Aam Aadmi Party,Recognized State Party,"Income through Grants, Donations and Contributions",166815008,value in indian rupees,
2019-20,Aam Aadmi Party,Recognized State Party,Income through Electoral Bonds,60000000,value in indian rupees,
2019-20,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Income through Electoral Bonds,743500000,value in indian rupees,
2019-20,Yuvajana Sramika Rythu Congress Party,Recognized State Party,Party's Total Income,927392729,value in indian rupees,
2019-20,Yuvajana Sramika Rythu Congress Party,Recognized State Party,"Income through Grants, Donations and Contributions",836745647,value in indian rupees,
2019-20,Telugu Desam Party,Recognized State Party,Income through Electoral Bonds,816000000,value in indian rupees,
2019-20,Telugu Desam Party,Recognized State Party,Party's Total Income,915300866,value in indian rupees,
2019-20,Telugu Desam Party,Recognized State Party,"Income through Grants, Donations and Contributions",843017296,value in indian rupees,
2019-20,Shivsena,Recognized State Party,Income through Electoral Bonds,409800000,value in indian rupees,
2019-20,Shivsena,Recognized State Party,Party's Total Income,1114034454,value in indian rupees,
2019-20,Shivsena,Recognized State Party,"Income through Grants, Donations and Contributions",1056459999,value in indian rupees,
2019-20,Shiromani Akali Dal,Recognized State Party,Income through Electoral Bonds,67600000,value in indian rupees,
2019-20,Shiromani Akali Dal,Recognized State Party,Party's Total Income,164717504,value in indian rupees,
2019-20,Shiromani Akali Dal,Recognized State Party,"Income through Grants, Donations and Contributions",110799113,value in indian rupees,
2019-20,Samajwadi Party,Recognized State Party,Income through Electoral Bonds,108400000,value in indian rupees,
2019-20,Samajwadi Party,Recognized State Party,Party's Total Income,472764603,value in indian rupees,
2019-20,Samajwadi Party,Recognized State Party,"Income through Grants, Donations and Contributions",152364830,value in indian rupees,
2019-20,Rashtriya Janata Dal,Recognized State Party,Income through Electoral Bonds,25000000,value in indian rupees,
2019-20,Rashtriya Janata Dal,Recognized State Party,Party's Total Income,60038592,value in indian rupees,
2019-20,Rashtriya Janata Dal,Recognized State Party,"Income through Grants, Donations and Contributions",40139913,value in indian rupees,
2019-20,Nationalist Congress Party,Recognized National Party,Income through Electoral Bonds,205000000,value in indian rupees,
2019-20,Nationalist Congress Party,Recognized National Party,Party's Total Income,855832280,value in indian rupees,
2019-20,Nationalist Congress Party,Recognized National Party,"Income through Grants, Donations and Contributions",833625210,value in indian rupees,
2019-20,Jharkhand Mukti Morcha,Recognized State Party,Income through Electoral Bonds,10000000,value in indian rupees,
2019-20,Jharkhand Mukti Morcha,Recognized State Party,Party's Total Income,83321690,value in indian rupees,
2019-20,Jharkhand Mukti Morcha,Recognized State Party,"Income through Grants, Donations and Contributions",68873500,value in indian rupees,
2019-20,Janata Dal (United),Recognized State Party,Income through Electoral Bonds,130000000,value in indian rupees,
2019-20,Janata Dal (United),Recognized State Party,Party's Total Income,233540333,value in indian rupees,
2019-20,Janata Dal (United),Recognized State Party,"Income through Grants, Donations and Contributions",191300991,value in indian rupees,
2019-20,Janata Dal (Secular),Recognized State Party,Income through Electoral Bonds,75000000,value in indian rupees,
2019-20,Janata Dal (Secular),Recognized State Party,Party's Total Income,197957713,value in indian rupees,
2019-20,Janata Dal (Secular),Recognized State Party,"Income through Grants, Donations and Contributions",195616775,value in indian rupees,
2019-20,Indian National Congress,Recognized National Party,Income through Electoral Bonds,3178610000,value in indian rupees,
2019-20,Indian National Congress,Recognized National Party,Party's Total Income,6822107051,value in indian rupees,
2019-20,Indian National Congress,Recognized National Party,"Income through Grants, Donations and Contributions",4693865851,value in indian rupees,
2019-20,Dravida Munnetra Kazhagam,Recognized State Party,Income through Electoral Bonds,455000000,value in indian rupees,
2019-20,Dravida Munnetra Kazhagam,Recognized State Party,Party's Total Income,649042670,value in indian rupees,
2019-20,Dravida Munnetra Kazhagam,Recognized State Party,"Income through Grants, Donations and Contributions",483100943,value in indian rupees,
